"AA"	1.0000	0.0000
"KK"	0.9471	0.0394
"QQ"	0.9004	0.0622
"JJ"	0.8539	0.0884
"TT"	0.8074	0.1191
"99"	0.7516	0.1788
"88"	0.6968	0.2390
"77"	0.6416	0.2992
"66"	0.5856	0.3593
"55"	0.5297	0.4133
"44"	0.4673	0.4668
"33"	0.4043	0.5149
"22"	0.3408	0.5577
"AKs"	0.6567	0.5905
"AKo"	0.6242	0.5726
"AQs"	0.6410	0.5747
"AQo"	0.6074	0.5523
"AJs"	0.6255	0.5635
"AJo"	0.5909	0.5361
"ATs"	0.6106	0.5552
"ATo"	0.5750	0.5237
"A9s"	0.5762	0.5398
"A9o"	0.5382	0.4983
"A8s"	0.5603	0.5411
"A8o"	0.5212	0.4954
"A7s"	0.5422	0.5465
"A7o"	0.5017	0.4967
"A6s"	0.5219	0.5535
"A6o"	0.4798	0.4992
"A5s"	0.5221	0.5743
"A5o"	0.4802	0.5224
"A4s"	0.5053	0.5867
"A4o"	0.4618	0.5320
"A3s"	0.4900	0.5950
"A3o"	0.4450	0.5369
"A2s"	0.4741	0.6008
"A2o"	0.4278	0.5390
"KQs"	0.5879	0.6788
"KQo"	0.5512	0.6593
"KJs"	0.5722	0.6668
"KJo"	0.5344	0.6432
"KTs"	0.5575	0.6577
"KTo"	0.5187	0.6295
"K9s"	0.5234	0.6357
"K9o"	0.4822	0.5975
"K8s"	0.4917	0.6241
"K8o"	0.4484	0.5763
"K7s"	0.4771	0.6253
"K7o"	0.4327	0.5739
"K6s"	0.4601	0.6282
"K6o"	0.4144	0.5730
"K5s"	0.4440	0.6340
"K5o"	0.3972	0.5747
"K4s"	0.4268	0.6440
"K4o"	0.3786	0.5813
"K3s"	0.4112	0.6510
"K3o"	0.3616	0.5842
"K2s"	0.3953	0.6581
"K2o"	0.3442	0.5876
"QJs"	0.5285	0.7502
"QJo"	0.4883	0.7286
"QTs"	0.5136	0.7415
"QTo"	0.4724	0.7162
"Q9s"	0.4794	0.7166
"Q9o"	0.4359	0.6809
"Q8s"	0.4484	0.7000
"Q8o"	0.4026	0.6552
"Q7s"	0.4159	0.6876
"Q7o"	0.3681	0.6328
"Q6s"	0.4028	0.6871
"Q6o"	0.3539	0.6290
"Q5s"	0.3870	0.6896
"Q5o"	0.3369	0.6274
"Q4s"	0.3698	0.6979
"Q4o"	0.3181	0.6311
"Q3s"	0.3539	0.7025
"Q3o"	0.3009	0.6315
"Q2s"	0.3378	0.7066
"Q2o"	0.2836	0.6315
"JTs"	0.4769	0.8178
"JTo"	0.4338	0.7950
"J9s"	0.4416	0.7934
"J9o"	0.3960	0.7606
"J8s"	0.4106	0.7751
"J8o"	0.3628	0.7332
"J7s"	0.3784	0.7581
"J7o"	0.3285	0.7062
"J6s"	0.3461	0.7432
"J6o"	0.2938	0.6813
"J5s"	0.3344	0.7423
"J5o"	0.2813	0.6768
"J4s"	0.3170	0.7481
"J4o"	0.2626	0.6784
"J3s"	0.3011	0.7506
"J3o"	0.2454	0.6759
"J2s"	0.2851	0.7527
"J2o"	0.2278	0.6734
"T9s"	0.4108	0.8639
"T9o"	0.3635	0.8340
"T8s"	0.3786	0.8461
"T8o"	0.3293	0.8075
"T7s"	0.3467	0.8282
"T7o"	0.2951	0.7797
"T6s"	0.3146	0.8095
"T6o"	0.2607	0.7506
"T5s"	0.2820	0.7925
"T5o"	0.2259	0.7232
"T4s"	0.2690	0.7959
"T4o"	0.2117	0.7228
"T3s"	0.2531	0.7959
"T3o"	0.1945	0.7178
"T2s"	0.2371	0.7959
"T2o"	0.1771	0.7129
"98s"	0.3497	0.9021
"98o"	0.2987	0.8647
"97s"	0.3180	0.8880
"97o"	0.2647	0.8415
"96s"	0.2860	0.8689
"96o"	0.2304	0.8124
"95s"	0.2537	0.8481
"95o"	0.1960	0.7809
"94s"	0.2185	0.8340
"94o"	0.1582	0.7548
"93s"	0.2072	0.8324
"93o"	0.1459	0.7490
"92s"	0.1913	0.8299
"92o"	0.1285	0.7415
"87s"	0.2957	0.9411
"87o"	0.2410	0.8971
"86s"	0.2635	0.9257
"86o"	0.2068	0.8722
"85s"	0.2314	0.9046
"85o"	0.1726	0.8407
"84s"	0.1966	0.8867
"84o"	0.1352	0.8112
"83s"	0.1620	0.8660
"83o"	0.0979	0.7776
"82s"	0.1507	0.8631
"82o"	0.0856	0.7697
"76s"	0.2471	0.9714
"76o"	0.1894	0.9207
"75s"	0.2151	0.9539
"75o"	0.1552	0.8934
"74s"	0.1805	0.9353
"74o"	0.1181	0.8635
"73s"	0.1463	0.9116
"73o"	0.0813	0.8270
"72s"	0.1108	0.8880
"72o"	0.0431	0.7888
"65s"	0.2047	0.9900
"65o"	0.1444	0.9324
"64s"	0.1707	0.9751
"64o"	0.1079	0.9066
"63s"	0.1367	0.9515
"63o"	0.0715	0.8710
"62s"	0.1015	0.9253
"62o"	0.0336	0.8307
"54s"	0.1730	1.0000
"54o"	0.1108	0.9357
"53s"	0.1397	0.9809
"53o"	0.0749	0.9054
"52s"	0.1049	0.9560
"52o"	0.0374	0.8672
"43s"	0.1198	0.9788
"43o"	0.0539	0.8983
"42s"	0.0856	0.9552
"42o"	0.0170	0.8614
"32s"	0.0696	0.9411
"32o"	0.0000	0.8402
