"AA"	1.0000	0.0000
"KK"	0.9471	0.0518
"QQ"	0.9004	0.0821
"JJ"	0.8539	0.1144
"TT"	0.8074	0.1467
"99"	0.7516	0.2288
"88"	0.6968	0.2988
"77"	0.6416	0.3681
"66"	0.5856	0.4381
"55"	0.5297	0.5000
"44"	0.4673	0.5686
"33"	0.4043	0.6339
"22"	0.3408	0.6965
"AKs"	0.6567	0.6911
"AKo"	0.6242	0.6999
"AQs"	0.6410	0.6642
"AQo"	0.6074	0.6676
"AJs"	0.6255	0.6406
"AJo"	0.5909	0.6380
"ATs"	0.6106	0.6198
"ATo"	0.5750	0.6117
"A9s"	0.5762	0.6184
"A9o"	0.5382	0.6030
"A8s"	0.5603	0.6144
"A8o"	0.5212	0.5949
"A7s"	0.5422	0.6184
"A7o"	0.5017	0.5949
"A6s"	0.5219	0.6306
"A6o"	0.4798	0.6036
"A5s"	0.5221	0.6359
"A5o"	0.4802	0.6097
"A4s"	0.5053	0.6555
"A4o"	0.4618	0.6279
"A3s"	0.4900	0.6709
"A3o"	0.4450	0.6420
"A2s"	0.4741	0.6844
"A2o"	0.4278	0.6534
"KQs"	0.5879	0.7705
"KQo"	0.5512	0.7820
"KJs"	0.5722	0.7470
"KJo"	0.5344	0.7530
"KTs"	0.5575	0.7241
"KTo"	0.5187	0.7254
"K9s"	0.5234	0.7100
"K9o"	0.4822	0.7026
"K8s"	0.4917	0.7073
"K8o"	0.4484	0.6925
"K7s"	0.4771	0.7012
"K7o"	0.4327	0.6824
"K6s"	0.4601	0.7032
"K6o"	0.4144	0.6803
"K5s"	0.4440	0.7093
"K5o"	0.3972	0.6837
"K4s"	0.4268	0.7288
"K4o"	0.3786	0.7019
"K3s"	0.4112	0.7456
"K3o"	0.3616	0.7167
"K2s"	0.3953	0.7624
"K2o"	0.3442	0.7322
"QJs"	0.5285	0.8217
"QJo"	0.4883	0.8338
"QTs"	0.5136	0.7995
"QTo"	0.4724	0.8062
"Q9s"	0.4794	0.7799
"Q9o"	0.4359	0.7779
"Q8s"	0.4484	0.7651
"Q8o"	0.4026	0.7550
"Q7s"	0.4159	0.7631
"Q7o"	0.3681	0.7456
"Q6s"	0.4028	0.7544
"Q6o"	0.3539	0.7328
"Q5s"	0.3870	0.7557
"Q5o"	0.3369	0.7301
"Q4s"	0.3698	0.7746
"Q4o"	0.3181	0.7476
"Q3s"	0.3539	0.7900
"Q3o"	0.3009	0.7618
"Q2s"	0.3378	0.8062
"Q2o"	0.2836	0.7759
"JTs"	0.4769	0.8614
"JTo"	0.4338	0.8735
"J9s"	0.4416	0.8445
"J9o"	0.3960	0.8472
"J8s"	0.4106	0.8257
"J8o"	0.3628	0.8203
"J7s"	0.3784	0.8109
"J7o"	0.3285	0.7974
"J6s"	0.3461	0.8075
"J6o"	0.2938	0.7867
"J5s"	0.3344	0.7974
"J5o"	0.2813	0.7719
"J4s"	0.3170	0.8136
"J4o"	0.2626	0.7867
"J3s"	0.3011	0.8284
"J3o"	0.2454	0.7995
"J2s"	0.2851	0.8425
"J2o"	0.2278	0.8122
"T9s"	0.4108	0.8970
"T9o"	0.3635	0.9044
"T8s"	0.3786	0.8802
"T8o"	0.3293	0.8802
"T7s"	0.3467	0.8620
"T7o"	0.2951	0.8533
"T6s"	0.3146	0.8472
"T6o"	0.2607	0.8291
"T5s"	0.2820	0.8425
"T5o"	0.2259	0.8170
"T4s"	0.2690	0.8486
"T4o"	0.2117	0.8210
"T3s"	0.2531	0.8607
"T3o"	0.1945	0.8311
"T2s"	0.2371	0.8735
"T2o"	0.1771	0.8419
"98s"	0.3497	0.9347
"98o"	0.2987	0.9381
"97s"	0.3180	0.9213
"97o"	0.2647	0.9179
"96s"	0.2860	0.9038
"96o"	0.2304	0.8917
"95s"	0.2537	0.8869
"95o"	0.1960	0.8654
"94s"	0.2185	0.9004
"94o"	0.1582	0.8735
"93s"	0.2072	0.9017
"93o"	0.1459	0.8721
"92s"	0.1913	0.9118
"92o"	0.1285	0.8802
"87s"	0.2957	0.9643
"87o"	0.2410	0.9643
"86s"	0.2635	0.9515
"86o"	0.2068	0.9441
"85s"	0.2314	0.9327
"85o"	0.1726	0.9159
"84s"	0.1966	0.9347
"84o"	0.1352	0.9118
"83s"	0.1620	0.9421
"83o"	0.0979	0.9125
"82s"	0.1507	0.9428
"82o"	0.0856	0.9098
"76s"	0.2471	0.9859
"76o"	0.1894	0.9818
"75s"	0.2151	0.9711
"75o"	0.1552	0.9596
"74s"	0.1805	0.9717
"74o"	0.1181	0.9529
"73s"	0.1463	0.9690
"73o"	0.0813	0.9428
"72s"	0.1108	0.9731
"72o"	0.0431	0.9401
"65s"	0.2047	0.9926
"65o"	0.1444	0.9838
"64s"	0.1707	0.9973
"64o"	0.1079	0.9818
"63s"	0.1367	0.9926
"63o"	0.0715	0.9704
"62s"	0.1015	0.9879
"62o"	0.0336	0.9576
"54s"	0.1730	0.9926
"54o"	0.1108	0.9791
"53s"	0.1397	0.9939
"53o"	0.0749	0.9744
"52s"	0.1049	0.9892
"52o"	0.0374	0.9616
"43s"	0.1198	1.0000
"43o"	0.0539	0.9791
"42s"	0.0856	0.9960
"42o"	0.0170	0.9684
"32s"	0.0696	0.9899
"32o"	0.0000	0.9603
